model,accuracy,precision,recall,f1,auc,training_time
Random Forest,0.7348066298342542,0.7551824212271974,0.6944338543652306,0.7235352532274082,0.7915290843580385,34638.10847187042
Hard Voting,0.7253762621451705,0.7450736361750674,0.6847121616469691,0.7136187543458826,0.7845933970944858,2765.819450855255
Logistic Regression,0.7169937130882073,0.7150690111552278,0.7209302325581395,0.7179876601803512,0.77978875356816,6.982820987701416
Stacking,0.7078491141169747,0.7223015711079371,0.6747998475028594,0.6977431753227555,0.7844856190434445,8208.806625843048
Soft Voting,0.707753857877691,0.7364307425097699,0.6465878764773161,0.6885911490052783,0.7852318627270196,3017.41162776947
Decision Tree,0.70280053343494,0.7215506461025427,0.6599313762866946,0.6893667861409798,0.7027760461022202,2031.877328634262
KNN,0.6754619927605258,0.6799060849148895,0.6624094548227221,0.6710437385343245,0.732203664257743,1480.8925249576569
MLP (Tier 1),0.6613640693465422,0.6530316742081448,0.6877621044605413,0.6699470801225513,0.7190069959369899,2543.404326915741
SVM,0.5834444656124976,0.5802242234883294,0.6017918414029737,0.5908112660241415,0.5957481223136245,1026.5952968597412
